pairs	Predictions	Scores
MG592412.1:Vibrio sp. F12	0	0
MG592412.1:Vibrio sp. F13	0	0
MG592412.1:Vibrio splendidus	0	0
MG592412.1:Vibrio tasmaniensis	0	0
MG592412.1:Vibrio vulnificus	0	0
MG592413.1:Aliivibrio fischeri	0	0
MG592413.1:Enterovibrio norvegicus	0	0
MG592413.1:Shewanella sp. 10N.6	0	0
MG592413.1:Shewanella sp. 10N.7	0	0
MG592413.1:Vibrio alginolyticus	0	0
MG592413.1:Vibrio anguillarum	0	0
MG592413.1:Vibrio breoganii	0	0
MG592413.1:Vibrio cyclitrophicus	0	0
MG592413.1:Vibrio kanaloae	0	0
MG592413.1:Vibrio lentus	0	0
MG592413.1:Vibrio parahaemolyticus	0	0
MG592413.1:Vibrio sp. 10N.1	0	0
MG592413.1:Vibrio sp. 10N.2	0	0
MG592413.1:Vibrio sp. 10N.3	0	0
MG592413.1:Vibrio sp. 10N.4	1	1
MG592413.1:Vibrio sp. 10N.5	0	0
MG592413.1:Vibrio sp. F12	0	0
MG592413.1:Vibrio sp. F13	0	0
MG592413.1:Vibrio splendidus	0	0
MG592413.1:Vibrio tasmaniensis	0	0
MG592413.1:Vibrio vulnificus	0	0
MG592414.1:Aliivibrio fischeri	0	0
MG592414.1:Enterovibrio norvegicus	0	0
MG592414.1:Shewanella sp. 10N.6	0	0
MG592414.1:Shewanella sp. 10N.7	0	0
MG592414.1:Vibrio alginolyticus	0	0
MG592414.1:Vibrio anguillarum	0	0
MG592414.1:Vibrio breoganii	0	0
MG592414.1:Vibrio cyclitrophicus	0	0
MG592414.1:Vibrio kanaloae	0	0
MG592414.1:Vibrio lentus	0	0
MG592414.1:Vibrio parahaemolyticus	0	0
MG592414.1:Vibrio sp. 10N.1	0	0
MG592414.1:Vibrio sp. 10N.2	0	0
MG592414.1:Vibrio sp. 10N.3	0	0
MG592414.1:Vibrio sp. 10N.4	0	0
MG592414.1:Vibrio sp. 10N.5	0	0
MG592414.1:Vibrio sp. F12	0	0
MG592414.1:Vibrio sp. F13	1	1
MG592414.1:Vibrio splendidus	0	0
MG592414.1:Vibrio tasmaniensis	0	0
MG592414.1:Vibrio vulnificus	0	0
MG592415.1:Aliivibrio fischeri	0	0
MG592415.1:Enterovibrio norvegicus	0	0
MG592415.1:Shewanella sp. 10N.6	0	0
MG592415.1:Shewanella sp. 10N.7	0	0
MG592415.1:Vibrio alginolyticus	0	0
MG592415.1:Vibrio anguillarum	0	0
MG592415.1:Vibrio breoganii	0	0
MG592415.1:Vibrio cyclitrophicus	0	0
MG592415.1:Vibrio kanaloae	0	0
MG592415.1:Vibrio lentus	1	1
MG592415.1:Vibrio parahaemolyticus	0	0
MG592415.1:Vibrio sp. 10N.1	0	0
MG592415.1:Vibrio sp. 10N.2	0	0
MG592415.1:Vibrio sp. 10N.3	0	0
MG592415.1:Vibrio sp. 10N.4	0	0
MG592415.1:Vibrio sp. 10N.5	0	0
MG592415.1:Vibrio sp. F12	0	0
MG592415.1:Vibrio sp. F13	0	0
MG592415.1:Vibrio splendidus	0	0
MG592415.1:Vibrio tasmaniensis	0	0
MG592415.1:Vibrio vulnificus	0	0
MG592416.1:Aliivibrio fischeri	0	0
MG592416.1:Enterovibrio norvegicus	0	0
MG592416.1:Shewanella sp. 10N.6	0	0
MG592416.1:Shewanella sp. 10N.7	0	0
MG592416.1:Vibrio alginolyticus	0	0
MG592416.1:Vibrio anguillarum	0	0
MG592416.1:Vibrio breoganii	0	0
MG592416.1:Vibrio cyclitrophicus	0	0
MG592416.1:Vibrio kanaloae	0	0
MG592416.1:Vibrio lentus	0	0
MG592416.1:Vibrio parahaemolyticus	0	0
MG592416.1:Vibrio sp. 10N.1	0	0
MG592416.1:Vibrio sp. 10N.2	0	0
MG592416.1:Vibrio sp. 10N.3	0	0
MG592416.1:Vibrio sp. 10N.4	0	0
MG592416.1:Vibrio sp. 10N.5	0	0
MG592416.1:Vibrio sp. F12	0	0
MG592416.1:Vibrio sp. F13	0	0
MG592416.1:Vibrio splendidus	1	1
MG592416.1:Vibrio tasmaniensis	0	0
MG592416.1:Vibrio vulnificus	0	0
MG592417.1:Aliivibrio fischeri	0	0
MG592417.1:Enterovibrio norvegicus	0	0
MG592417.1:Shewanella sp. 10N.6	0	0
MG592417.1:Shewanella sp. 10N.7	0	0
MG592417.1:Vibrio alginolyticus	0	0
MG592417.1:Vibrio anguillarum	0	0
MG592417.1:Vibrio breoganii	0	0
MG592417.1:Vibrio cyclitrophicus	0	0
MG592417.1:Vibrio kanaloae	0	0
MG592417.1:Vibrio lentus	1	1
MG592417.1:Vibrio parahaemolyticus	0	0
MG592417.1:Vibrio sp. 10N.1	0	0
MG592417.1:Vibrio sp. 10N.2	0	0
MG592417.1:Vibrio sp. 10N.3	0	0
MG592417.1:Vibrio sp. 10N.4	0	0
MG592417.1:Vibrio sp. 10N.5	0	0
MG592417.1:Vibrio sp. F12	0	0
MG592417.1:Vibrio sp. F13	0	0
MG592417.1:Vibrio splendidus	0	0
MG592417.1:Vibrio tasmaniensis	0	0
MG592417.1:Vibrio vulnificus	0	0
MG592418.1:Aliivibrio fischeri	0	0
MG592418.1:Enterovibrio norvegicus	0	0
MG592418.1:Shewanella sp. 10N.6	0	0
MG592418.1:Shewanella sp. 10N.7	0	0
MG592418.1:Vibrio alginolyticus	0	0
MG592418.1:Vibrio anguillarum	0	0
MG592418.1:Vibrio breoganii	1	1
MG592418.1:Vibrio cyclitrophicus	0	0
MG592418.1:Vibrio kanaloae	0	0
MG592418.1:Vibrio lentus	0	0
MG592418.1:Vibrio parahaemolyticus	0	0
MG592418.1:Vibrio sp. 10N.1	0	0
MG592418.1:Vibrio sp. 10N.2	0	0
MG592418.1:Vibrio sp. 10N.3	0	0
MG592418.1:Vibrio sp. 10N.4	0	0
MG592418.1:Vibrio sp. 10N.5	0	0
MG592418.1:Vibrio sp. F12	0	0
MG592418.1:Vibrio sp. F13	0	0
MG592418.1:Vibrio splendidus	0	0
MG592418.1:Vibrio tasmaniensis	0	0
MG592418.1:Vibrio vulnificus	0	0
MG592420.1:Aliivibrio fischeri	0	0
MG592420.1:Enterovibrio norvegicus	0	0
MG592420.1:Shewanella sp. 10N.6	0	0
MG592420.1:Shewanella sp. 10N.7	0	0
MG592420.1:Vibrio alginolyticus	0	0
MG592420.1:Vibrio anguillarum	0	0
MG592420.1:Vibrio breoganii	0	0
MG592420.1:Vibrio cyclitrophicus	0	0
MG592420.1:Vibrio kanaloae	0	0
MG592420.1:Vibrio lentus	1	1
MG592420.1:Vibrio parahaemolyticus	0	0
MG592420.1:Vibrio sp. 10N.1	0	0
MG592420.1:Vibrio sp. 10N.2	0	0
MG592420.1:Vibrio sp. 10N.3	0	0
MG592420.1:Vibrio sp. 10N.4	0	0
MG592420.1:Vibrio sp. 10N.5	0	0
MG592420.1:Vibrio sp. F12	0	0
MG592420.1:Vibrio sp. F13	0	0
MG592420.1:Vibrio splendidus	0	0
MG592420.1:Vibrio tasmaniensis	0	0
MG592420.1:Vibrio vulnificus	0	0
MG592421.1:Aliivibrio fischeri	0	0
MG592421.1:Enterovibrio norvegicus	0	0
MG592421.1:Shewanella sp. 10N.6	0	0
MG592421.1:Shewanella sp. 10N.7	0	0
MG592421.1:Vibrio alginolyticus	0	0
MG592421.1:Vibrio anguillarum	0	0
MG592421.1:Vibrio breoganii	0	0
