Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_543264.fasta,0.013157737992853953,6.086881119748667e-06,0.496868978805395
SM,235560,Contig_61586.fasta,0.013186550120508622,6.0333680714095095e-06,0.49758803666184276
SM,235560,Contig_206205.fasta,0.01853217737334124,1.2360932903327651e-05,0.5002424830261881
SM,235560,Contig_992897.fasta,0.01710710582041077,1.0686534562323577e-05,0.4997577519379845
SM,235560,Contig_368482.fasta,0.014543561690443038,7.433601330318593e-06,0.49927395934172314
SM,235560,Contig_368810.fasta,0.01981498721792355,1.4084372042719751e-05,0.5004852013585638
SM,235560,Contig_545620.fasta,0.01576320982676653,8.959539264427563e-06,0.4997577519379845
SM,235560,Contig_131586.fasta,0.010445211875628886,3.853268703590262e-06,0.4956751561749159
SM,235560,Contig_62330.fasta,0.012022210000664944,4.683251606291796e-06,0.49519923187710035
SM,235560,Contig_133221.fasta,0.01461958142652879,7.2728290739798206e-06,0.49879110251450676
SM,235560,Contig_554336.fasta,0.01980116613410468,1.4084818173052885e-05,0.5002424830261881
SM,235560,Contig_1061979.fasta,0.014478316819838858,7.413760748956805e-06,0.49903241412675375
SM,235560,Contig_59083.fasta,0.01585783716113579,8.950065152460135e-06,0.49951573849878933
SM,235560,Contig_61046.fasta,0.014577059812965554,7.494355903796002e-06,0.49951573849878933
SM,235560,Contig_53364.fasta,0.014537303692524083,7.458238258734687e-06,0.49951573849878933
SM,235560,Contig_138517.fasta,0.022498947728569984,1.8171541739075043e-05,0.5009713453132588
SM,235560,Contig_1064832.fasta,0.01198339806041587,4.831555568786253e-06,0.4961519961519962
SM,235560,Contig_367940.fasta,0.014475370722619618,7.351025865092977e-06,0.49855002416626387
SM,235560,Contig_57502.fasta,0.011856170577597538,4.969263221230455e-06,0.496868978805395
SM,235560,Contig_370591.fasta,0.01457636444083897,7.37999537822469e-06,0.49879110251450676
SM,235560,Contig_420251.fasta,0.018510849862177423,1.2214567997482739e-05,0.5002424830261881
SM,235560,Contig_58753.fasta,0.015881326228902527,8.836247494772287e-06,0.49927395934172314
SM,235560,Contig_133165.fasta,0.010538708445984646,3.833808480693739e-06,0.4947242206235012
SM,235560,Contig_136703.fasta,0.01053632756501683,3.838305341340524e-06,0.49425011978917105
SM,235560,Contig_420638.fasta,0.018643744677368672,1.2244168799733743e-05,0.5002424830261881
SM,235560,Contig_552562.fasta,0.015746219965538943,8.892661040709458e-06,0.49903241412675375
SM,235560,Contig_136746.fasta,0.013283141235378656,6.085457567716283e-06,0.49806856591018833
SM,235560,Contig_53399.fasta,0.007858385664612996,2.0545656537852203e-06,0.48223468910705936
SM,235560,Contig_369317.fasta,0.019875582611909953,1.4208416817091195e-05,0.5002424830261881
SM,235560,Contig_551614.fasta,0.019879496929717584,1.4070035142854902e-05,0.5002424830261881
SM,235560,Contig_554072.fasta,0.015927805275155305,8.772868740333719e-06,0.49927395934172314
SM,235560,Contig_59716.fasta,0.018443052998815167,1.2221637582731081e-05,0.4997577519379845
SM,235560,Contig_1066043.fasta,0.010671709532029849,3.7340956682991127e-06,0.4940134099616858
SM,235560,Contig_549707.fasta,0.014486806148558674,7.4842699588074665e-06,0.49879110251450676
SM,235560,Contig_1062625.fasta,0.01853362817008849,1.2406011006499338e-05,0.5002424830261881
SM,235560,Contig_372137.fasta,0.01456237649452063,7.418044364460058e-06,0.49903241412675375
SM,235560,Contig_426270.fasta,0.01318661081935046,5.983240078984848e-06,0.49782818532818535
SM,235560,Contig_54300.fasta,0.015932276551549062,8.788070673510106e-06,0.49903241412675375
SM,235560,Contig_53610.fasta,0.014613227597270429,7.312937373069004e-06,0.49855002416626387
SM,235560,Contig_989205.fasta,0.011919907215421596,4.898025897788596e-06,0.49782818532818535
SM,235560,Contig_420760.fasta,0.011889440160048271,4.86432890442473e-06,0.49662975445353874
SM,235560,Contig_1062050.fasta,0.014558443446974018,7.342058661042422e-06,0.49830917874396136
SM,235560,Contig_427270.fasta,0.019727450800889397,1.4047320046183767e-05,0.5002424830261881
SM,235560,Contig_139063.fasta,0.013326110710407776,6.005282724276958e-06,0.49830917874396136
SM,235560,Contig_420725.fasta,0.01718361722320162,1.053892377715456e-05,0.4997577519379845
SM,235560,Contig_545479.fasta,0.014424770341597793,7.430406641461153e-06,0.49927395934172314
SM,235560,Contig_1062015.fasta,0.015827145190268184,8.799212927094505e-06,0.49903241412675375
SM,235560,Contig_202006.fasta,0.013224459156594443,6.056315591872488e-06,0.49806856591018833
SM,235560,Contig_498324.fasta,0.019750232641062487,1.422725466911267e-05,0.5004852013585638
