Virus,Host
49631--k141_69477||full.fasta,concatenated_49631-contigs.fasta
49641--k141_193717||full.fasta,concatenated_Sample_49628_11.fasta
49641--k141_193717||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_193717||full.fasta,concatenated_Sample_49624_8.fasta
concatenated_49627_vRhyme_bin_201.fasta,concatenated_Sample_49632_5.1.fasta
concatenated_49627_vRhyme_bin_201.fasta,concatenated_49633-contigs.fasta
concatenated_49627_vRhyme_bin_201.fasta,concatenated_Sample_49624_46.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_49633-contigs.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_Sample_49628_11.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_Sample_49624_47.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_49627-contigs.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_49626-contigs.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_49629-contigs.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_Sample_49624_23.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_Sample_49632_27.fasta
concatenated_49631_vRhyme_bin_107.fasta,concatenated_49631-contigs.fasta
49634--k141_61588.fasta,concatenated_Sample_49632_12.fasta
49634--k141_61588.fasta,concatenated_Sample_49632_5.1.fasta
49634--k141_61588.fasta,concatenated_49633-contigs.fasta
49634--k141_61588.fasta,concatenated_Sample_49624_12.fasta
49634--k141_61588.fasta,concatenated_Sample_49624_46.fasta
49634--k141_61588.fasta,concatenated_49628-contigs.fasta
49634--k141_61588.fasta,concatenated_Sample_49628_11.fasta
49634--k141_61588.fasta,concatenated_Sample_49624_47.fasta
49634--k141_61588.fasta,concatenated_Sample_49624_51.1.fasta
49634--k141_61588.fasta,concatenated_49627-contigs.fasta
49634--k141_61588.fasta,concatenated_Sample_49625_6.fasta
49634--k141_61588.fasta,concatenated_49629-contigs.fasta
49634--k141_61588.fasta,concatenated_Sample_49632_27.fasta
49641--k141_171997||full.fasta,concatenated_Sample_49624_46.fasta
49641--k141_171997||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_171997||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_194646||full.fasta,concatenated_Sample_49624_12.fasta
49641--k141_194646||full.fasta,concatenated_49628-contigs.fasta
49641--k141_194646||full.fasta,concatenated_Sample_49628_11.fasta
49641--k141_194646||full.fasta,concatenated_Sample_49624_47.fasta
49641--k141_194646||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_194646||full.fasta,concatenated_49626-contigs.fasta
49641--k141_194646||full.fasta,concatenated_49625-contigs.fasta
49641--k141_194646||full.fasta,concatenated_Sample_49624_23.fasta
49641--k141_194646||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_205408||full.fasta,concatenated_Sample_49632_5.1.fasta
49641--k141_205408||full.fasta,concatenated_Sample_49624_12.fasta
49641--k141_205408||full.fasta,concatenated_Sample_49624_46.fasta
49641--k141_205408||full.fasta,concatenated_Sample_49628_11.fasta
49641--k141_205408||full.fasta,concatenated_Sample_49624_47.fasta
49641--k141_205408||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_205408||full.fasta,concatenated_Sample_49625_6.fasta
concatenated_49631_vRhyme_bin_137.fasta,concatenated_Sample_49632_5.1.fasta
concatenated_49631_vRhyme_bin_137.fasta,concatenated_Sample_49624_12.fasta
concatenated_49631_vRhyme_bin_137.fasta,concatenated_Sample_49624_46.fasta
concatenated_49631_vRhyme_bin_137.fasta,concatenated_Sample_49628_11.fasta
concatenated_49631_vRhyme_bin_137.fasta,concatenated_Sample_49624_47.fasta
concatenated_49631_vRhyme_bin_137.fasta,concatenated_Sample_49624_51.1.fasta
concatenated_49631_vRhyme_bin_137.fasta,concatenated_Sample_49632_27.fasta
49635--k141_155594||full.fasta,concatenated_Sample_49632_5.1.fasta
49635--k141_155594||full.fasta,concatenated_Sample_49624_12.fasta
49635--k141_155594||full.fasta,concatenated_Sample_49624_46.fasta
49635--k141_155594||full.fasta,concatenated_Sample_49628_11.fasta
49635--k141_155594||full.fasta,concatenated_Sample_49625_6.fasta
49635--k141_155594||full.fasta,concatenated_Sample_49624_8.fasta
49635--k141_155594||full.fasta,concatenated_Sample_49632_27.fasta
49627--k141_51991||full.fasta,concatenated_Sample_49624_51.1.fasta
49627--k141_51991||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_4195||full.fasta,concatenated_Sample_49624_12.fasta
49641--k141_4195||full.fasta,concatenated_Sample_49628_11.fasta
49641--k141_4195||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_4195||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_255445||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_255445||full.fasta,concatenated_Sample_49624_8.fasta
49627--k141_66098||full.fasta,concatenated_Sample_49632_5.1.fasta
49627--k141_66098||full.fasta,concatenated_Sample_49624_51.1.fasta
concatenated_49627_vRhyme_bin_156.fasta,concatenated_Sample_49632_5.1.fasta
concatenated_49627_vRhyme_bin_156.fasta,concatenated_Sample_49624_12.fasta
concatenated_49627_vRhyme_bin_156.fasta,concatenated_49624-contigs.fasta
concatenated_49627_vRhyme_bin_156.fasta,concatenated_Sample_49624_51.1.fasta
concatenated_49627_vRhyme_bin_156.fasta,concatenated_49629-contigs.fasta
49631--k141_506||full.fasta,concatenated_49633-contigs.fasta
49631--k141_506||full.fasta,concatenated_Sample_49624_46.fasta
49631--k141_506||full.fasta,concatenated_49628-contigs.fasta
49631--k141_506||full.fasta,concatenated_49626-contigs.fasta
49631--k141_506||full.fasta,concatenated_49625-contigs.fasta
49631--k141_506||full.fasta,concatenated_Sample_49624_8.fasta
49631--k141_506||full.fasta,concatenated_Sample_49632_27.fasta
49631--k141_506||full.fasta,concatenated_49631-contigs.fasta
49631--k141_215203||full.fasta,concatenated_Sample_49624_12.fasta
49631--k141_215203||full.fasta,concatenated_Sample_49628_11.fasta
49631--k141_215203||full.fasta,concatenated_Sample_49625_6.fasta
49631--k141_215203||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_33319||full.fasta,concatenated_Sample_49632_5.1.fasta
49641--k141_33319||full.fasta,concatenated_Sample_49624_47.fasta
49641--k141_33319||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_33319||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_33319||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_254583||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_254583||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_254583||full.fasta,concatenated_49625-contigs.fasta
49641--k141_254583||full.fasta,concatenated_Sample_49624_8.fasta
49641--k141_63735||full.fasta,concatenated_Sample_49624_51.1.fasta
49641--k141_63735||full.fasta,concatenated_Sample_49625_6.fasta
49641--k141_63735||full.fasta,concatenated_Sample_49624_8.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_Sample_49632_12.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_49633-contigs.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_Sample_49624_12.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_49628-contigs.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_Sample_49628_11.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_Sample_49625_12.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_49624-contigs.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_Sample_49624_51.1.fasta
concatenated_49624_vRhyme_bin_26.fasta,concatenated_49627-contigs.fasta
