Method,Iteration,Number of Swaps,Nestedness
CM,Null iteration 250,3330,57.92693225061382
CM,Null iteration 251,3330,58.475073562111476
CM,Null iteration 252,3330,58.145839347250835
CM,Null iteration 253,3330,55.91707287153844
CM,Null iteration 254,3330,56.43307680776368
CM,Null iteration 255,3330,58.28440108036551
CM,Null iteration 256,3330,56.92075391897329
CM,Null iteration 257,3330,56.43317870541945
CM,Null iteration 258,3330,57.170638284311735
CM,Null iteration 259,3330,56.279210502819744
CM,Null iteration 260,3330,56.78455371147414
CM,Null iteration 261,3330,56.233043875501735
CM,Null iteration 262,3330,57.61771309550873
CM,Null iteration 263,3330,56.348726746919
CM,Null iteration 264,3330,57.73111005489194
CM,Null iteration 265,3330,56.86745506024567
CM,Null iteration 266,3330,55.26657898393343
CM,Null iteration 267,3330,56.8832528122692
CM,Null iteration 268,3330,54.8826160879196
CM,Null iteration 269,3330,58.508156734124334
CM,Null iteration 270,3330,57.79685836973507
CM,Null iteration 271,3330,57.65713960477815
CM,Null iteration 272,3330,55.65476225033285
CM,Null iteration 273,3330,57.93707686323323
CM,Null iteration 274,3330,57.72224734397716
CM,Null iteration 275,3330,57.17398265647408
CM,Null iteration 276,3330,55.97419757881905
CM,Null iteration 277,3330,57.08100430125846
CM,Null iteration 278,3330,55.40878804726789
CM,Null iteration 279,3330,57.9461782893398
CM,Null iteration 280,3330,56.07421201774464
CM,Null iteration 281,3330,56.160524423834474
CM,Null iteration 282,3330,57.31077996527552
CM,Null iteration 283,3330,56.72982387359046
CM,Null iteration 284,3330,55.27091202904778
CM,Null iteration 285,3330,55.31762451611864
CM,Null iteration 286,3330,57.7035938716233
CM,Null iteration 287,3330,54.91818704099847
CM,Null iteration 288,3330,57.56759967360265
CM,Null iteration 289,3330,57.63229344484252
CM,Null iteration 290,3330,56.25785383929849
CM,Null iteration 291,3330,57.89826112691895
CM,Null iteration 292,3330,56.55641194892053
CM,Null iteration 293,3330,56.90025488619841
CM,Null iteration 294,3330,57.142398525876075
CM,Null iteration 295,3330,56.943609533753346
CM,Null iteration 296,3330,56.346169447594605
CM,Null iteration 297,3330,57.71394279805344
CM,Null iteration 298,3330,57.295550849479035
CM,Null iteration 299,3330,57.124748940978336
CM,Null iteration 300,3330,57.276590152565916
CM,Null iteration 301,3330,56.096049066075
CM,Null iteration 302,3330,57.10447911907254
CM,Null iteration 303,3330,56.24386642679248
CM,Null iteration 304,3330,57.1244179045375
CM,Null iteration 305,3330,57.25247592216138
CM,Null iteration 306,3330,56.35027745998061
CM,Null iteration 307,3330,57.72824410132125
CM,Null iteration 308,3330,57.58480009550149
CM,Null iteration 309,3330,55.649721221538364
CM,Null iteration 310,3330,57.092541528254834
CM,Null iteration 311,3330,57.09762380396592
CM,Null iteration 312,3330,57.13044218072642
CM,Null iteration 313,3330,56.188414475085466
CM,Null iteration 314,3330,56.4842716136223
CM,Null iteration 315,3330,55.17785327312838
CM,Null iteration 316,3330,55.453412519861324
CM,Null iteration 317,3330,56.23193397209477
CM,Null iteration 318,3330,57.76879087035606
CM,Null iteration 319,3330,56.326667229963206
CM,Null iteration 320,3330,55.938465875121864
CM,Null iteration 321,3330,57.51090833443223
CM,Null iteration 322,3330,56.813554111527395
CM,Null iteration 323,3330,56.78024045577277
CM,Null iteration 324,3330,56.51951642259189
CM,Null iteration 325,3330,56.60440889249777
CM,Null iteration 326,3330,56.45832268717017
CM,Null iteration 327,3330,57.24756922781805
CM,Null iteration 328,3330,56.32370902792101
CM,Null iteration 329,3330,56.551041596282744
CM,Null iteration 330,3330,56.91843780238284
CM,Null iteration 331,3330,56.04649014829459
CM,Null iteration 332,3330,57.97352971922535
CM,Null iteration 333,3330,57.515191774268004
CM,Null iteration 334,3330,56.182695733295304
CM,Null iteration 335,3330,57.13659456362415
CM,Null iteration 336,3330,56.22711075718185
CM,Null iteration 337,3330,54.063093292291384
CM,Null iteration 338,3330,56.82284068859576
CM,Null iteration 339,3330,57.5918576208868
CM,Null iteration 340,3330,57.782463510814836
CM,Null iteration 341,3330,55.86246700077374
CM,Null iteration 342,3330,58.10032065895896
CM,Null iteration 343,3330,56.52281333955432
CM,Null iteration 344,3330,57.462328984864115
CM,Null iteration 345,3330,57.50813404176859
CM,Null iteration 346,3330,57.33784324019433
CM,Null iteration 347,3330,57.038149604983204
CM,Null iteration 348,3330,56.88718270659848
CM,Null iteration 349,3330,56.44902037359016
CM,Null iteration 350,3330,56.30078497259396
CM,Null iteration 351,3330,56.85249449047818
CM,Null iteration 352,3330,57.91263790665765
CM,Null iteration 353,3330,56.442143060451656
CM,Null iteration 354,3330,57.12038083948504
CM,Null iteration 355,3330,55.853867865271596
CM,Null iteration 356,3330,58.43724404821844
CM,Null iteration 357,3330,56.23271502177525
CM,Null iteration 358,3330,56.47983049157381
CM,Null iteration 359,3330,57.57861489984549
CM,Null iteration 360,3330,56.58417560116487
CM,Null iteration 361,3330,57.2549497658386
CM,Null iteration 362,3330,57.214210561152726
CM,Null iteration 363,3330,57.07058183006271
CM,Null iteration 364,3330,55.737181518423526
CM,Null iteration 365,3330,56.467883766848246
CM,Null iteration 366,3330,57.22076412551768
CM,Null iteration 367,3330,56.21343577951963
CM,Null iteration 368,3330,56.60919086755155
CM,Null iteration 369,3330,58.157964553757644
CM,Null iteration 370,3330,57.17471909246075
CM,Null iteration 371,3330,57.38410618854816
CM,Null iteration 372,3330,58.392063571115244
CM,Null iteration 373,3330,57.249712507863705
CM,Null iteration 374,3330,57.276046164468674
CM,Null iteration 375,3330,57.62857426470897
CM,Null iteration 376,3330,57.07616368121295
CM,Null iteration 377,3330,57.76081504276158
CM,Null iteration 378,3330,57.19245301314886
CM,Null iteration 379,3330,57.63375335466243
CM,Null iteration 380,3330,57.19172747302902
CM,Null iteration 381,3330,57.532341005365886
CM,Null iteration 382,3330,57.30497922653021
CM,Null iteration 383,3330,56.90366406639461
CM,Null iteration 384,3330,55.5567416075242
CM,Null iteration 385,3330,57.12428803427873
CM,Null iteration 386,3330,55.73100228603854
CM,Null iteration 387,3330,58.51877814668778
CM,Null iteration 388,3330,57.87092708466515
CM,Null iteration 389,3330,57.45598178607361
CM,Null iteration 390,3330,56.050445028410465
CM,Null iteration 391,3330,55.513426180374
CM,Null iteration 392,3330,56.59528649911612
CM,Null iteration 393,3330,56.57226711903862
CM,Null iteration 394,3330,58.05241552747353
CM,Null iteration 395,3330,56.94219214253967
CM,Null iteration 396,3330,57.06077161841762
